,Kernel,C,Accuracy_mean,Accuracy_std,Precision_mean_D0,Precision_std_D0,Recall_mean_D0,Recall_std_D0,F1_score_mean_D0,F1_score_std_D0,Precision_mean_D1,Precision_std_D1,Recall_mean_D1,Recall_std_D1,F1_score_mean_D1,F1_score_std_D1,Precision_mean_D2,Precision_std_D2,Recall_mean_D2,Recall_std_D2,F1_score_mean_D2,F1_score_std_D2,Precision_mean_D3,Precision_std_D3,Recall_mean_D3,Recall_std_D3,F1_score_mean_D3,F1_score_std_D3,Precision_mean_D4,Precision_std_D4,Recall_mean_D4,Recall_std_D4,F1_score_mean_D4,F1_score_std_D4,Precision_mean_D5,Precision_std_D5,Recall_mean_D5,Recall_std_D5,F1_score_mean_D5,F1_score_std_D5,Precision_mean_D6,Precision_std_D6,Recall_mean_D6,Recall_std_D6,F1_score_mean_D6,F1_score_std_D6
10,rbf,1.0,0.7845953002610966,0.015190797083852585,0.7791527482079627,0.015893821376406762,0.778466182104096,0.015549910565516089,0.7760770438214881,0.015359176287274305,0.7791527482079627,0.015893821376406762,0.778466182104096,0.015549910565516089,0.7760770438214881,0.015359176287274305,0.7791527482079627,0.015893821376406762,0.778466182104096,0.015549910565516089,0.7760770438214881,0.015359176287274305,0.7791527482079627,0.015893821376406762,0.778466182104096,0.015549910565516089,0.7760770438214881,0.015359176287274305,0.7791527482079627,0.015893821376406762,0.778466182104096,0.015549910565516089,0.7760770438214881,0.015359176287274305,0.7791527482079627,0.015893821376406762,0.778466182104096,0.015549910565516089,0.7760770438214881,0.015359176287274305,0.7791527482079627,0.015893821376406762,0.778466182104096,0.015549910565516089,0.7760770438214881,0.015359176287274305
11,rbf,10.0,0.8164490861618798,0.015136849128601325,0.8119234739829834,0.017356939988846787,0.8113758651808759,0.018056549850303517,0.8098686431170886,0.017979643898425542,0.8119234739829834,0.017356939988846787,0.8113758651808759,0.018056549850303517,0.8098686431170886,0.017979643898425542,0.8119234739829834,0.017356939988846787,0.8113758651808759,0.018056549850303517,0.8098686431170886,0.017979643898425542,0.8119234739829834,0.017356939988846787,0.8113758651808759,0.018056549850303517,0.8098686431170886,0.017979643898425542,0.8119234739829834,0.017356939988846787,0.8113758651808759,0.018056549850303517,0.8098686431170886,0.017979643898425542,0.8119234739829834,0.017356939988846787,0.8113758651808759,0.018056549850303517,0.8098686431170886,0.017979643898425542,0.8119234739829834,0.017356939988846787,0.8113758651808759,0.018056549850303517,0.8098686431170886,0.017979643898425542
12,rbf,100.0,0.8237597911227154,0.013478756657065596,0.8203609443828374,0.014777167883961965,0.8181425138432316,0.015889307593606666,0.8172299986801423,0.014930638096531954,0.8203609443828374,0.014777167883961965,0.8181425138432316,0.015889307593606666,0.8172299986801423,0.014930638096531954,0.8203609443828374,0.014777167883961965,0.8181425138432316,0.015889307593606666,0.8172299986801423,0.014930638096531954,0.8203609443828374,0.014777167883961965,0.8181425138432316,0.015889307593606666,0.8172299986801423,0.014930638096531954,0.8203609443828374,0.014777167883961965,0.8181425138432316,0.015889307593606666,0.8172299986801423,0.014930638096531954,0.8203609443828374,0.014777167883961965,0.8181425138432316,0.015889307593606666,0.8172299986801423,0.014930638096531954,0.8203609443828374,0.014777167883961965,0.8181425138432316,0.015889307593606666,0.8172299986801423,0.014930638096531954
13,rbf,1000.0,0.8237597911227155,0.015010216555409735,0.8198349611686522,0.016302852252709502,0.817722973373707,0.016819491217416785,0.8173837160535002,0.016294174150625833,0.8198349611686522,0.016302852252709502,0.817722973373707,0.016819491217416785,0.8173837160535002,0.016294174150625833,0.8198349611686522,0.016302852252709502,0.817722973373707,0.016819491217416785,0.8173837160535002,0.016294174150625833,0.8198349611686522,0.016302852252709502,0.817722973373707,0.016819491217416785,0.8173837160535002,0.016294174150625833,0.8198349611686522,0.016302852252709502,0.817722973373707,0.016819491217416785,0.8173837160535002,0.016294174150625833,0.8198349611686522,0.016302852252709502,0.817722973373707,0.016819491217416785,0.8173837160535002,0.016294174150625833,0.8198349611686522,0.016302852252709502,0.817722973373707,0.016819491217416785,0.8173837160535002,0.016294174150625833
14,poly,0.001,0.1660574412532637,0.01322087613699443,0.052232405271925186,0.05786544686963537,0.14335588515916384,0.0009997918008554907,0.04154834799191307,0.003926667285271189,0.052232405271925186,0.05786544686963537,0.14335588515916384,0.0009997918008554907,0.04154834799191307,0.003926667285271189,0.052232405271925186,0.05786544686963537,0.14335588515916384,0.0009997918008554907,0.04154834799191307,0.003926667285271189,0.052232405271925186,0.05786544686963537,0.14335588515916384,0.0009997918008554907,0.04154834799191307,0.003926667285271189,0.052232405271925186,0.05786544686963537,0.14335588515916384,0.0009997918008554907,0.04154834799191307,0.003926667285271189,0.052232405271925186,0.05786544686963537,0.14335588515916384,0.0009997918008554907,0.04154834799191307,0.003926667285271189,0.052232405271925186,0.05786544686963537,0.14335588515916384,0.0009997918008554907,0.04154834799191307,0.003926667285271189
15,poly,0.01,0.2402088772845953,0.023929899190369922,0.35055989978372704,0.04897250677757583,0.22284399616294154,0.016075548717463795,0.17098104325831137,0.02346942463688669,0.35055989978372704,0.04897250677757583,0.22284399616294154,0.016075548717463795,0.17098104325831137,0.02346942463688669,0.35055989978372704,0.04897250677757583,0.22284399616294154,0.016075548717463795,0.17098104325831137,0.02346942463688669,0.35055989978372704,0.04897250677757583,0.22284399616294154,0.016075548717463795,0.17098104325831137,0.02346942463688669,0.35055989978372704,0.04897250677757583,0.22284399616294154,0.016075548717463795,0.17098104325831137,0.02346942463688669,0.35055989978372704,0.04897250677757583,0.22284399616294154,0.016075548717463795,0.17098104325831137,0.02346942463688669,0.35055989978372704,0.04897250677757583,0.22284399616294154,0.016075548717463795,0.17098104325831137,0.02346942463688669
16,poly,0.1,0.5154046997389033,0.0261930782328657,0.6124201521332078,0.04100421547854392,0.4969727354294579,0.02757376372683383,0.48396418467162744,0.03191836202007268,0.6124201521332078,0.04100421547854392,0.4969727354294579,0.02757376372683383,0.48396418467162744,0.03191836202007268,0.6124201521332078,0.04100421547854392,0.4969727354294579,0.02757376372683383,0.48396418467162744,0.03191836202007268,0.6124201521332078,0.04100421547854392,0.4969727354294579,0.02757376372683383,0.48396418467162744,0.03191836202007268,0.6124201521332078,0.04100421547854392,0.4969727354294579,0.02757376372683383,0.48396418467162744,0.03191836202007268,0.6124201521332078,0.04100421547854392,0.4969727354294579,0.02757376372683383,0.48396418467162744,0.03191836202007268,0.6124201521332078,0.04100421547854392,0.4969727354294579,0.02757376372683383,0.48396418467162744,0.03191836202007268
17,poly,1.0,0.6984334203655352,0.021946097743271917,0.7027679395094023,0.020479540309314665,0.6908144387505515,0.02041125235491813,0.6840057520356171,0.021748424027689395,0.7027679395094023,0.020479540309314665,0.6908144387505515,0.02041125235491813,0.6840057520356171,0.021748424027689395,0.7027679395094023,0.020479540309314665,0.6908144387505515,0.02041125235491813,0.6840057520356171,0.021748424027689395,0.7027679395094023,0.020479540309314665,0.6908144387505515,0.02041125235491813,0.6840057520356171,0.021748424027689395,0.7027679395094023,0.020479540309314665,0.6908144387505515,0.02041125235491813,0.6840057520356171,0.021748424027689395,0.7027679395094023,0.020479540309314665,0.6908144387505515,0.02041125235491813,0.6840057520356171,0.021748424027689395,0.7027679395094023,0.020479540309314665,0.6908144387505515,0.02041125235491813,0.6840057520356171,0.021748424027689395
18,poly,10.0,0.7903394255874673,0.013867646710067369,0.7829908456771444,0.015898040140478183,0.7838897905096355,0.015272506763171696,0.7807994564252957,0.015599445835605906,0.7829908456771444,0.015898040140478183,0.7838897905096355,0.015272506763171696,0.7807994564252957,0.015599445835605906,0.7829908456771444,0.015898040140478183,0.7838897905096355,0.015272506763171696,0.7807994564252957,0.015599445835605906,0.7829908456771444,0.015898040140478183,0.7838897905096355,0.015272506763171696,0.7807994564252957,0.015599445835605906,0.7829908456771444,0.015898040140478183,0.7838897905096355,0.015272506763171696,0.7807994564252957,0.015599445835605906,0.7829908456771444,0.015898040140478183,0.7838897905096355,0.015272506763171696,0.7807994564252957,0.015599445835605906,0.7829908456771444,0.015898040140478183,0.7838897905096355,0.015272506763171696,0.7807994564252957,0.015599445835605906
19,poly,100.0,0.8122715404699739,0.013887296237046669,0.8056889309265246,0.01697442882293856,0.8061748551384842,0.016529231093312897,0.8043822346944491,0.016672042291188068,0.8056889309265246,0.01697442882293856,0.8061748551384842,0.016529231093312897,0.8043822346944491,0.016672042291188068,0.8056889309265246,0.01697442882293856,0.8061748551384842,0.016529231093312897,0.8043822346944491,0.016672042291188068,0.8056889309265246,0.01697442882293856,0.8061748551384842,0.016529231093312897,0.8043822346944491,0.016672042291188068,0.8056889309265246,0.01697442882293856,0.8061748551384842,0.016529231093312897,0.8043822346944491,0.016672042291188068,0.8056889309265246,0.01697442882293856,0.8061748551384842,0.016529231093312897,0.8043822346944491,0.016672042291188068,0.8056889309265246,0.01697442882293856,0.8061748551384842,0.016529231093312897,0.8043822346944491,0.016672042291188068
20,poly,1000.0,0.8073107049608355,0.018820701087143704,0.801077502833356,0.019437671862384296,0.8016269294795949,0.01843070454398127,0.7991302318221509,0.019198978640397383,0.801077502833356,0.019437671862384296,0.8016269294795949,0.01843070454398127,0.7991302318221509,0.019198978640397383,0.801077502833356,0.019437671862384296,0.8016269294795949,0.01843070454398127,0.7991302318221509,0.019198978640397383,0.801077502833356,0.019437671862384296,0.8016269294795949,0.01843070454398127,0.7991302318221509,0.019198978640397383,0.801077502833356,0.019437671862384296,0.8016269294795949,0.01843070454398127,0.7991302318221509,0.019198978640397383,0.801077502833356,0.019437671862384296,0.8016269294795949,0.01843070454398127,0.7991302318221509,0.019198978640397383,0.801077502833356,0.019437671862384296,0.8016269294795949,0.01843070454398127,0.7991302318221509,0.019198978640397383
