id,Number_of_estimators,Criterion,Max_samples,Max_depth,Accuracy_mean,Accuracy_std,Precision_mean_D0,Precision_std_D0,Recall_mean_D0,Recall_std_D0,F1_score_mean_D0,F1_score_std_D0,Precision_mean_D1,Precision_std_D1,Recall_mean_D1,Recall_std_D1,F1_score_mean_D1,F1_score_std_D1,Precision_mean_D2,Precision_std_D2,Recall_mean_D2,Recall_std_D2,F1_score_mean_D2,F1_score_std_D2,Precision_mean_D3,Precision_std_D3,Recall_mean_D3,Recall_std_D3,F1_score_mean_D3,F1_score_std_D3,Precision_mean_D4,Precision_std_D4,Recall_mean_D4,Recall_std_D4,F1_score_mean_D4,F1_score_std_D4,Precision_mean_D5,Precision_std_D5,Recall_mean_D5,Recall_std_D5,F1_score_mean_D5,F1_score_std_D5,Precision_mean_D6,Precision_std_D6,Recall_mean_D6,Recall_std_D6,F1_score_mean_D6,F1_score_std_D6
0,10,gini,0.2,3.0,0.5558746736292428,0.0444240356686322,0.5641121314412133,0.052259795741694454,0.5427315186857349,0.036950343565576554,0.5006385211237478,0.04368693057351181,0.5641121314412133,0.052259795741694454,0.5427315186857349,0.036950343565576554,0.5006385211237478,0.04368693057351181,0.5641121314412133,0.052259795741694454,0.5427315186857349,0.036950343565576554,0.5006385211237478,0.04368693057351181,0.5641121314412133,0.052259795741694454,0.5427315186857349,0.036950343565576554,0.5006385211237478,0.04368693057351181,0.5641121314412133,0.052259795741694454,0.5427315186857349,0.036950343565576554,0.5006385211237478,0.04368693057351181,0.5641121314412133,0.052259795741694454,0.5427315186857349,0.036950343565576554,0.5006385211237478,0.04368693057351181,0.5641121314412133,0.052259795741694454,0.5427315186857349,0.036950343565576554,0.5006385211237478,0.04368693057351181
1,10,gini,0.2,6.0,0.6903394255874674,0.03089778003652641,0.6829193710515454,0.03178616461585627,0.6822322432488622,0.031126652793056347,0.6720470894713442,0.03407106175762371,0.6829193710515454,0.03178616461585627,0.6822322432488622,0.031126652793056347,0.6720470894713442,0.03407106175762371,0.6829193710515454,0.03178616461585627,0.6822322432488622,0.031126652793056347,0.6720470894713442,0.03407106175762371,0.6829193710515454,0.03178616461585627,0.6822322432488622,0.031126652793056347,0.6720470894713442,0.03407106175762371,0.6829193710515454,0.03178616461585627,0.6822322432488622,0.031126652793056347,0.6720470894713442,0.03407106175762371,0.6829193710515454,0.03178616461585627,0.6822322432488622,0.031126652793056347,0.6720470894713442,0.03407106175762371,0.6829193710515454,0.03178616461585627,0.6822322432488622,0.031126652793056347,0.6720470894713442,0.03407106175762371
2,10,gini,0.2,9.0,0.7498694516971279,0.0161289245028517,0.7401115686359483,0.018433399516600057,0.7450418710761827,0.01781333864874275,0.7379405815579242,0.018401555240722307,0.7401115686359483,0.018433399516600057,0.7450418710761827,0.01781333864874275,0.7379405815579242,0.018401555240722307,0.7401115686359483,0.018433399516600057,0.7450418710761827,0.01781333864874275,0.7379405815579242,0.018401555240722307,0.7401115686359483,0.018433399516600057,0.7450418710761827,0.01781333864874275,0.7379405815579242,0.018401555240722307,0.7401115686359483,0.018433399516600057,0.7450418710761827,0.01781333864874275,0.7379405815579242,0.018401555240722307,0.7401115686359483,0.018433399516600057,0.7450418710761827,0.01781333864874275,0.7379405815579242,0.018401555240722307,0.7401115686359483,0.018433399516600057,0.7450418710761827,0.01781333864874275,0.7379405815579242,0.018401555240722307
3,10,gini,0.2,12.0,0.7681462140992166,0.02346385581061197,0.7606854652998857,0.0242701906307797,0.7641172653325348,0.02138651274042166,0.7594974050566952,0.023217899889715118,0.7606854652998857,0.0242701906307797,0.7641172653325348,0.02138651274042166,0.7594974050566952,0.023217899889715118,0.7606854652998857,0.0242701906307797,0.7641172653325348,0.02138651274042166,0.7594974050566952,0.023217899889715118,0.7606854652998857,0.0242701906307797,0.7641172653325348,0.02138651274042166,0.7594974050566952,0.023217899889715118,0.7606854652998857,0.0242701906307797,0.7641172653325348,0.02138651274042166,0.7594974050566952,0.023217899889715118,0.7606854652998857,0.0242701906307797,0.7641172653325348,0.02138651274042166,0.7594974050566952,0.023217899889715118,0.7606854652998857,0.0242701906307797,0.7641172653325348,0.02138651274042166,0.7594974050566952,0.023217899889715118
4,10,gini,0.6000000000000001,3.0,0.5467362924281984,0.032300087925205466,0.5590005309133421,0.03120133111417028,0.5398704301947219,0.029334301947059525,0.5003019295725822,0.036992777504628066,0.5590005309133421,0.03120133111417028,0.5398704301947219,0.029334301947059525,0.5003019295725822,0.036992777504628066,0.5590005309133421,0.03120133111417028,0.5398704301947219,0.029334301947059525,0.5003019295725822,0.036992777504628066,0.5590005309133421,0.03120133111417028,0.5398704301947219,0.029334301947059525,0.5003019295725822,0.036992777504628066,0.5590005309133421,0.03120133111417028,0.5398704301947219,0.029334301947059525,0.5003019295725822,0.036992777504628066,0.5590005309133421,0.03120133111417028,0.5398704301947219,0.029334301947059525,0.5003019295725822,0.036992777504628066,0.5590005309133421,0.03120133111417028,0.5398704301947219,0.029334301947059525,0.5003019295725822,0.036992777504628066
5,10,gini,0.6000000000000001,6.0,0.6817232375979112,0.03057061067616892,0.676481487779491,0.033034069591503734,0.6753675271964825,0.03155475586652411,0.6601884667369765,0.03727587226799653,0.676481487779491,0.033034069591503734,0.6753675271964825,0.03155475586652411,0.6601884667369765,0.03727587226799653,0.676481487779491,0.033034069591503734,0.6753675271964825,0.03155475586652411,0.6601884667369765,0.03727587226799653,0.676481487779491,0.033034069591503734,0.6753675271964825,0.03155475586652411,0.6601884667369765,0.03727587226799653,0.676481487779491,0.033034069591503734,0.6753675271964825,0.03155475586652411,0.6601884667369765,0.03727587226799653,0.676481487779491,0.033034069591503734,0.6753675271964825,0.03155475586652411,0.6601884667369765,0.03727587226799653,0.676481487779491,0.033034069591503734,0.6753675271964825,0.03155475586652411,0.6601884667369765,0.03727587226799653
6,10,gini,0.6000000000000001,9.0,0.7699738903394256,0.02003650657227119,0.7627105786798408,0.02315944295256868,0.7663098521417787,0.02267679342654693,0.7597003088352791,0.023991923922747682,0.7627105786798408,0.02315944295256868,0.7663098521417787,0.02267679342654693,0.7597003088352791,0.023991923922747682,0.7627105786798408,0.02315944295256868,0.7663098521417787,0.02267679342654693,0.7597003088352791,0.023991923922747682,0.7627105786798408,0.02315944295256868,0.7663098521417787,0.02267679342654693,0.7597003088352791,0.023991923922747682,0.7627105786798408,0.02315944295256868,0.7663098521417787,0.02267679342654693,0.7597003088352791,0.023991923922747682,0.7627105786798408,0.02315944295256868,0.7663098521417787,0.02267679342654693,0.7597003088352791,0.023991923922747682,0.7627105786798408,0.02315944295256868,0.7663098521417787,0.02267679342654693,0.7597003088352791,0.023991923922747682
7,10,gini,0.6000000000000001,12.0,0.8180156657963445,0.02165843165262713,0.8120784247323052,0.026382023911848348,0.8131081089939733,0.023849987771760423,0.8104055845813081,0.02548560014287662,0.8120784247323052,0.026382023911848348,0.8131081089939733,0.023849987771760423,0.8104055845813081,0.02548560014287662,0.8120784247323052,0.026382023911848348,0.8131081089939733,0.023849987771760423,0.8104055845813081,0.02548560014287662,0.8120784247323052,0.026382023911848348,0.8131081089939733,0.023849987771760423,0.8104055845813081,0.02548560014287662,0.8120784247323052,0.026382023911848348,0.8131081089939733,0.023849987771760423,0.8104055845813081,0.02548560014287662,0.8120784247323052,0.026382023911848348,0.8131081089939733,0.023849987771760423,0.8104055845813081,0.02548560014287662,0.8120784247323052,0.026382023911848348,0.8131081089939733,0.023849987771760423,0.8104055845813081,0.02548560014287662
8,10,gini,1.0,3.0,0.5697127937336814,0.046586541889693855,0.5790125160135766,0.05436686303214842,0.5640068005701016,0.041130087280055995,0.5178014440227726,0.05514412295784084,0.5790125160135766,0.05436686303214842,0.5640068005701016,0.041130087280055995,0.5178014440227726,0.05514412295784084,0.5790125160135766,0.05436686303214842,0.5640068005701016,0.041130087280055995,0.5178014440227726,0.05514412295784084,0.5790125160135766,0.05436686303214842,0.5640068005701016,0.041130087280055995,0.5178014440227726,0.05514412295784084,0.5790125160135766,0.05436686303214842,0.5640068005701016,0.041130087280055995,0.5178014440227726,0.05514412295784084,0.5790125160135766,0.05436686303214842,0.5640068005701016,0.041130087280055995,0.5178014440227726,0.05514412295784084,0.5790125160135766,0.05436686303214842,0.5640068005701016,0.041130087280055995,0.5178014440227726,0.05514412295784084
9,10,gini,1.0,6.0,0.6804177545691905,0.044158530310005537,0.6751439100244119,0.03652829007660026,0.6753207651528106,0.04006379911308031,0.6592595126840612,0.04725911506267483,0.6751439100244119,0.03652829007660026,0.6753207651528106,0.04006379911308031,0.6592595126840612,0.04725911506267483,0.6751439100244119,0.03652829007660026,0.6753207651528106,0.04006379911308031,0.6592595126840612,0.04725911506267483,0.6751439100244119,0.03652829007660026,0.6753207651528106,0.04006379911308031,0.6592595126840612,0.04725911506267483,0.6751439100244119,0.03652829007660026,0.6753207651528106,0.04006379911308031,0.6592595126840612,0.04725911506267483,0.6751439100244119,0.03652829007660026,0.6753207651528106,0.04006379911308031,0.6592595126840612,0.04725911506267483,0.6751439100244119,0.03652829007660026,0.6753207651528106,0.04006379911308031,0.6592595126840612,0.04725911506267483
