id,Number_of_estimators,Learning_rate,Max_depth,Accuracy_mean,Accuracy_std,Precision_mean_D0,Precision_std_D0,Recall_mean_D0,Recall_std_D0,F1_score_mean_D0,F1_score_std_D0,Precision_mean_D1,Precision_std_D1,Recall_mean_D1,Recall_std_D1,F1_score_mean_D1,F1_score_std_D1,Precision_mean_D2,Precision_std_D2,Recall_mean_D2,Recall_std_D2,F1_score_mean_D2,F1_score_std_D2,Precision_mean_D3,Precision_std_D3,Recall_mean_D3,Recall_std_D3,F1_score_mean_D3,F1_score_std_D3,Precision_mean_D4,Precision_std_D4,Recall_mean_D4,Recall_std_D4,F1_score_mean_D4,F1_score_std_D4,Precision_mean_D5,Precision_std_D5,Recall_mean_D5,Recall_std_D5,F1_score_mean_D5,F1_score_std_D5,Precision_mean_D6,Precision_std_D6,Recall_mean_D6,Recall_std_D6,F1_score_mean_D6,F1_score_std_D6
0,10,0.05,3,0.6587467362924282,0.03204262817959763,0.6583848785441846,0.040628989787499944,0.6560825916092805,0.030678829943470792,0.6446664184284722,0.03887306269301668,0.6583848785441846,0.040628989787499944,0.6560825916092805,0.030678829943470792,0.6446664184284722,0.03887306269301668,0.6583848785441846,0.040628989787499944,0.6560825916092805,0.030678829943470792,0.6446664184284722,0.03887306269301668,0.6583848785441846,0.040628989787499944,0.6560825916092805,0.030678829943470792,0.6446664184284722,0.03887306269301668,0.6583848785441846,0.040628989787499944,0.6560825916092805,0.030678829943470792,0.6446664184284722,0.03887306269301668,0.6583848785441846,0.040628989787499944,0.6560825916092805,0.030678829943470792,0.6446664184284722,0.03887306269301668,0.6583848785441846,0.040628989787499944,0.6560825916092805,0.030678829943470792,0.6446664184284722,0.03887306269301668
1,10,0.05,6,0.8057441253263707,0.017287671391380523,0.8036427332888308,0.021611940876744475,0.8003018940589607,0.019877354427053177,0.7999790795965444,0.02043660290812112,0.8036427332888308,0.021611940876744475,0.8003018940589607,0.019877354427053177,0.7999790795965444,0.02043660290812112,0.8036427332888308,0.021611940876744475,0.8003018940589607,0.019877354427053177,0.7999790795965444,0.02043660290812112,0.8036427332888308,0.021611940876744475,0.8003018940589607,0.019877354427053177,0.7999790795965444,0.02043660290812112,0.8036427332888308,0.021611940876744475,0.8003018940589607,0.019877354427053177,0.7999790795965444,0.02043660290812112,0.8036427332888308,0.021611940876744475,0.8003018940589607,0.019877354427053177,0.7999790795965444,0.02043660290812112,0.8036427332888308,0.021611940876744475,0.8003018940589607,0.019877354427053177,0.7999790795965444,0.02043660290812112
2,10,0.05,9,0.8360313315926893,0.012939437799857822,0.8327009418834825,0.017064556406351634,0.8315168139657384,0.014162159633909424,0.8300189512180953,0.015647009522985138,0.8327009418834825,0.017064556406351634,0.8315168139657384,0.014162159633909424,0.8300189512180953,0.015647009522985138,0.8327009418834825,0.017064556406351634,0.8315168139657384,0.014162159633909424,0.8300189512180953,0.015647009522985138,0.8327009418834825,0.017064556406351634,0.8315168139657384,0.014162159633909424,0.8300189512180953,0.015647009522985138,0.8327009418834825,0.017064556406351634,0.8315168139657384,0.014162159633909424,0.8300189512180953,0.015647009522985138,0.8327009418834825,0.017064556406351634,0.8315168139657384,0.014162159633909424,0.8300189512180953,0.015647009522985138,0.8327009418834825,0.017064556406351634,0.8315168139657384,0.014162159633909424,0.8300189512180953,0.015647009522985138
3,10,0.05,12,0.8394255874673631,0.011154051886837497,0.83600526842115,0.015183634604843576,0.8351499583782646,0.013044968397436426,0.8334702349757419,0.014382861519827553,0.83600526842115,0.015183634604843576,0.8351499583782646,0.013044968397436426,0.8334702349757419,0.014382861519827553,0.83600526842115,0.015183634604843576,0.8351499583782646,0.013044968397436426,0.8334702349757419,0.014382861519827553,0.83600526842115,0.015183634604843576,0.8351499583782646,0.013044968397436426,0.8334702349757419,0.014382861519827553,0.83600526842115,0.015183634604843576,0.8351499583782646,0.013044968397436426,0.8334702349757419,0.014382861519827553,0.83600526842115,0.015183634604843576,0.8351499583782646,0.013044968397436426,0.8334702349757419,0.014382861519827553,0.83600526842115,0.015183634604843576,0.8351499583782646,0.013044968397436426,0.8334702349757419,0.014382861519827553
4,10,0.1,3,0.672845953002611,0.02974783068714843,0.677273834391415,0.03622038904211666,0.667975477339645,0.027762765753213955,0.6609996906516453,0.03035990896298648,0.677273834391415,0.03622038904211666,0.667975477339645,0.027762765753213955,0.6609996906516453,0.03035990896298648,0.677273834391415,0.03622038904211666,0.667975477339645,0.027762765753213955,0.6609996906516453,0.03035990896298648,0.677273834391415,0.03622038904211666,0.667975477339645,0.027762765753213955,0.6609996906516453,0.03035990896298648,0.677273834391415,0.03622038904211666,0.667975477339645,0.027762765753213955,0.6609996906516453,0.03035990896298648,0.677273834391415,0.03622038904211666,0.667975477339645,0.027762765753213955,0.6609996906516453,0.03035990896298648,0.677273834391415,0.03622038904211666,0.667975477339645,0.027762765753213955,0.6609996906516453,0.03035990896298648
5,10,0.1,6,0.8135770234986944,0.01139291082468483,0.8109966355544704,0.013313678602320772,0.8080758680066165,0.013374167676726618,0.8076577571655411,0.012873269289777674,0.8109966355544704,0.013313678602320772,0.8080758680066165,0.013374167676726618,0.8076577571655411,0.012873269289777674,0.8109966355544704,0.013313678602320772,0.8080758680066165,0.013374167676726618,0.8076577571655411,0.012873269289777674,0.8109966355544704,0.013313678602320772,0.8080758680066165,0.013374167676726618,0.8076577571655411,0.012873269289777674,0.8109966355544704,0.013313678602320772,0.8080758680066165,0.013374167676726618,0.8076577571655411,0.012873269289777674,0.8109966355544704,0.013313678602320772,0.8080758680066165,0.013374167676726618,0.8076577571655411,0.012873269289777674,0.8109966355544704,0.013313678602320772,0.8080758680066165,0.013374167676726618,0.8076577571655411,0.012873269289777674
6,10,0.1,9,0.8417754569190601,0.011028048084565478,0.8389403592131017,0.014301834138998453,0.8373013871906236,0.013139433670561446,0.8363244720859896,0.0138896748567708,0.8389403592131017,0.014301834138998453,0.8373013871906236,0.013139433670561446,0.8363244720859896,0.0138896748567708,0.8389403592131017,0.014301834138998453,0.8373013871906236,0.013139433670561446,0.8363244720859896,0.0138896748567708,0.8389403592131017,0.014301834138998453,0.8373013871906236,0.013139433670561446,0.8363244720859896,0.0138896748567708,0.8389403592131017,0.014301834138998453,0.8373013871906236,0.013139433670561446,0.8363244720859896,0.0138896748567708,0.8389403592131017,0.014301834138998453,0.8373013871906236,0.013139433670561446,0.8363244720859896,0.0138896748567708,0.8389403592131017,0.014301834138998453,0.8373013871906236,0.013139433670561446,0.8363244720859896,0.0138896748567708
7,10,0.1,12,0.8441253263707573,0.010182767624020874,0.8406726074890406,0.01289856769779513,0.8399541616601887,0.012317888708803154,0.8384848478099478,0.012655762414890328,0.8406726074890406,0.01289856769779513,0.8399541616601887,0.012317888708803154,0.8384848478099478,0.012655762414890328,0.8406726074890406,0.01289856769779513,0.8399541616601887,0.012317888708803154,0.8384848478099478,0.012655762414890328,0.8406726074890406,0.01289856769779513,0.8399541616601887,0.012317888708803154,0.8384848478099478,0.012655762414890328,0.8406726074890406,0.01289856769779513,0.8399541616601887,0.012317888708803154,0.8384848478099478,0.012655762414890328,0.8406726074890406,0.01289856769779513,0.8399541616601887,0.012317888708803154,0.8384848478099478,0.012655762414890328,0.8406726074890406,0.01289856769779513,0.8399541616601887,0.012317888708803154,0.8384848478099478,0.012655762414890328
8,10,0.15000000000000002,3,0.7,0.02627752824663203,0.7014241029830859,0.021352258512670978,0.6944628079276416,0.022689510575136494,0.6884583722223356,0.024357039186485695,0.7014241029830859,0.021352258512670978,0.6944628079276416,0.022689510575136494,0.6884583722223356,0.024357039186485695,0.7014241029830859,0.021352258512670978,0.6944628079276416,0.022689510575136494,0.6884583722223356,0.024357039186485695,0.7014241029830859,0.021352258512670978,0.6944628079276416,0.022689510575136494,0.6884583722223356,0.024357039186485695,0.7014241029830859,0.021352258512670978,0.6944628079276416,0.022689510575136494,0.6884583722223356,0.024357039186485695,0.7014241029830859,0.021352258512670978,0.6944628079276416,0.022689510575136494,0.6884583722223356,0.024357039186485695,0.7014241029830859,0.021352258512670978,0.6944628079276416,0.022689510575136494,0.6884583722223356,0.024357039186485695
9,10,0.15000000000000002,6,0.8219321148825065,0.0162552296775701,0.819231522361792,0.016149514781873875,0.8164470664247855,0.01634873520962603,0.8160413762510073,0.016456650607703942,0.819231522361792,0.016149514781873875,0.8164470664247855,0.01634873520962603,0.8160413762510073,0.016456650607703942,0.819231522361792,0.016149514781873875,0.8164470664247855,0.01634873520962603,0.8160413762510073,0.016456650607703942,0.819231522361792,0.016149514781873875,0.8164470664247855,0.01634873520962603,0.8160413762510073,0.016456650607703942,0.819231522361792,0.016149514781873875,0.8164470664247855,0.01634873520962603,0.8160413762510073,0.016456650607703942,0.819231522361792,0.016149514781873875,0.8164470664247855,0.01634873520962603,0.8160413762510073,0.016456650607703942,0.819231522361792,0.016149514781873875,0.8164470664247855,0.01634873520962603,0.8160413762510073,0.016456650607703942
10,10,0.15000000000000002,9,0.8480417754569192,0.00961459667860154,0.8445044342398067,0.011597843084630582,0.8430032804227853,0.012872287891015965,0.8421390279826465,0.012965711506256434,0.8445044342398067,0.011597843084630582,0.8430032804227853,0.012872287891015965,0.8421390279826465,0.012965711506256434,0.8445044342398067,0.011597843084630582,0.8430032804227853,0.012872287891015965,0.8421390279826465,0.012965711506256434,0.8445044342398067,0.011597843084630582,0.8430032804227853,0.012872287891015965,0.8421390279826465,0.012965711506256434,0.8445044342398067,0.011597843084630582,0.8430032804227853,0.012872287891015965,0.8421390279826465,0.012965711506256434,0.8445044342398067,0.011597843084630582,0.8430032804227853,0.012872287891015965,0.8421390279826465,0.012965711506256434,0.8445044342398067,0.011597843084630582,0.8430032804227853,0.012872287891015965,0.8421390279826465,0.012965711506256434
11,10,0.15000000000000002,12,0.8485639686684074,0.00983887398507405,0.8456901683214193,0.011791464927744513,0.84497157249459,0.012085216836213188,0.8435583376900999,0.012307913081874467,0.8456901683214193,0.011791464927744513,0.84497157249459,0.012085216836213188,0.8435583376900999,0.012307913081874467,0.8456901683214193,0.011791464927744513,0.84497157249459,0.012085216836213188,0.8435583376900999,0.012307913081874467,0.8456901683214193,0.011791464927744513,0.84497157249459,0.012085216836213188,0.8435583376900999,0.012307913081874467,0.8456901683214193,0.011791464927744513,0.84497157249459,0.012085216836213188,0.8435583376900999,0.012307913081874467,0.8456901683214193,0.011791464927744513,0.84497157249459,0.012085216836213188,0.8435583376900999,0.012307913081874467,0.8456901683214193,0.011791464927744513,0.84497157249459,0.012085216836213188,0.8435583376900999,0.012307913081874467
12,10,0.2,3,0.7237597911227154,0.014667960214295698,0.7197991018153606,0.010670591745667578,0.7186928752043921,0.01188865190067995,0.713747694794858,0.012297252568729426,0.7197991018153606,0.010670591745667578,0.7186928752043921,0.01188865190067995,0.713747694794858,0.012297252568729426,0.7197991018153606,0.010670591745667578,0.7186928752043921,0.01188865190067995,0.713747694794858,0.012297252568729426,0.7197991018153606,0.010670591745667578,0.7186928752043921,0.01188865190067995,0.713747694794858,0.012297252568729426,0.7197991018153606,0.010670591745667578,0.7186928752043921,0.01188865190067995,0.713747694794858,0.012297252568729426,0.7197991018153606,0.010670591745667578,0.7186928752043921,0.01188865190067995,0.713747694794858,0.012297252568729426,0.7197991018153606,0.010670591745667578,0.7186928752043921,0.01188865190067995,0.713747694794858,0.012297252568729426
13,10,0.2,6,0.827154046997389,0.013806061688148604,0.8256846953550282,0.015343176196686795,0.8216366758581074,0.016637059901415924,0.8218221624776184,0.016288345036878732,0.8256846953550282,0.015343176196686795,0.8216366758581074,0.016637059901415924,0.8218221624776184,0.016288345036878732,0.8256846953550282,0.015343176196686795,0.8216366758581074,0.016637059901415924,0.8218221624776184,0.016288345036878732,0.8256846953550282,0.015343176196686795,0.8216366758581074,0.016637059901415924,0.8218221624776184,0.016288345036878732,0.8256846953550282,0.015343176196686795,0.8216366758581074,0.016637059901415924,0.8218221624776184,0.016288345036878732,0.8256846953550282,0.015343176196686795,0.8216366758581074,0.016637059901415924,0.8218221624776184,0.016288345036878732,0.8256846953550282,0.015343176196686795,0.8216366758581074,0.016637059901415924,0.8218221624776184,0.016288345036878732
14,10,0.2,9,0.8503916449086162,0.014398240917976222,0.8468001224586894,0.01844184984889649,0.8451964891455177,0.01839228573683006,0.8446361165643992,0.018770731751163786,0.8468001224586894,0.01844184984889649,0.8451964891455177,0.01839228573683006,0.8446361165643992,0.018770731751163786,0.8468001224586894,0.01844184984889649,0.8451964891455177,0.01839228573683006,0.8446361165643992,0.018770731751163786,0.8468001224586894,0.01844184984889649,0.8451964891455177,0.01839228573683006,0.8446361165643992,0.018770731751163786,0.8468001224586894,0.01844184984889649,0.8451964891455177,0.01839228573683006,0.8446361165643992,0.018770731751163786,0.8468001224586894,0.01844184984889649,0.8451964891455177,0.01839228573683006,0.8446361165643992,0.018770731751163786,0.8468001224586894,0.01844184984889649,0.8451964891455177,0.01839228573683006,0.8446361165643992,0.018770731751163786
15,10,0.2,12,0.8490861618798956,0.011065075770452787,0.8448162736972504,0.014184560033553327,0.8451294003173011,0.014127746533023821,0.8436299382828224,0.014341216667076478,0.8448162736972504,0.014184560033553327,0.8451294003173011,0.014127746533023821,0.8436299382828224,0.014341216667076478,0.8448162736972504,0.014184560033553327,0.8451294003173011,0.014127746533023821,0.8436299382828224,0.014341216667076478,0.8448162736972504,0.014184560033553327,0.8451294003173011,0.014127746533023821,0.8436299382828224,0.014341216667076478,0.8448162736972504,0.014184560033553327,0.8451294003173011,0.014127746533023821,0.8436299382828224,0.014341216667076478,0.8448162736972504,0.014184560033553327,0.8451294003173011,0.014127746533023821,0.8436299382828224,0.014341216667076478,0.8448162736972504,0.014184560033553327,0.8451294003173011,0.014127746533023821,0.8436299382828224,0.014341216667076478
16,100,0.05,3,0.7968668407310705,0.01777759219900699,0.7968157951613277,0.019246506709117997,0.7917431144893429,0.022312602840992863,0.7908453740155289,0.021475880598963482,0.7968157951613277,0.019246506709117997,0.7917431144893429,0.022312602840992863,0.7908453740155289,0.021475880598963482,0.7968157951613277,0.019246506709117997,0.7917431144893429,0.022312602840992863,0.7908453740155289,0.021475880598963482,0.7968157951613277,0.019246506709117997,0.7917431144893429,0.022312602840992863,0.7908453740155289,0.021475880598963482,0.7968157951613277,0.019246506709117997,0.7917431144893429,0.022312602840992863,0.7908453740155289,0.021475880598963482,0.7968157951613277,0.019246506709117997,0.7917431144893429,0.022312602840992863,0.7908453740155289,0.021475880598963482,0.7968157951613277,0.019246506709117997,0.7917431144893429,0.022312602840992863,0.7908453740155289,0.021475880598963482
17,100,0.05,6,0.851958224543081,0.012304826807256575,0.8501549959278721,0.013087680181959492,0.8468257456954834,0.015425360289760721,0.8470197503630388,0.015000771417220263,0.8501549959278721,0.013087680181959492,0.8468257456954834,0.015425360289760721,0.8470197503630388,0.015000771417220263,0.8501549959278721,0.013087680181959492,0.8468257456954834,0.015425360289760721,0.8470197503630388,0.015000771417220263,0.8501549959278721,0.013087680181959492,0.8468257456954834,0.015425360289760721,0.8470197503630388,0.015000771417220263,0.8501549959278721,0.013087680181959492,0.8468257456954834,0.015425360289760721,0.8470197503630388,0.015000771417220263,0.8501549959278721,0.013087680181959492,0.8468257456954834,0.015425360289760721,0.8470197503630388,0.015000771417220263,0.8501549959278721,0.013087680181959492,0.8468257456954834,0.015425360289760721,0.8470197503630388,0.015000771417220263
18,100,0.05,9,0.8616187989556137,0.012357346805429992,0.8599945751426332,0.014283180719510114,0.8573285974483668,0.01504602651901721,0.8569032471412046,0.01494278562997811,0.8599945751426332,0.014283180719510114,0.8573285974483668,0.01504602651901721,0.8569032471412046,0.01494278562997811,0.8599945751426332,0.014283180719510114,0.8573285974483668,0.01504602651901721,0.8569032471412046,0.01494278562997811,0.8599945751426332,0.014283180719510114,0.8573285974483668,0.01504602651901721,0.8569032471412046,0.01494278562997811,0.8599945751426332,0.014283180719510114,0.8573285974483668,0.01504602651901721,0.8569032471412046,0.01494278562997811,0.8599945751426332,0.014283180719510114,0.8573285974483668,0.01504602651901721,0.8569032471412046,0.01494278562997811,0.8599945751426332,0.014283180719510114,0.8573285974483668,0.01504602651901721,0.8569032471412046,0.01494278562997811
19,100,0.05,12,0.8616187989556137,0.010573606648207093,0.8591846879673071,0.012312342308972423,0.8577109593536762,0.012858205403465526,0.8570676586492461,0.012708554937456063,0.8591846879673071,0.012312342308972423,0.8577109593536762,0.012858205403465526,0.8570676586492461,0.012708554937456063,0.8591846879673071,0.012312342308972423,0.8577109593536762,0.012858205403465526,0.8570676586492461,0.012708554937456063,0.8591846879673071,0.012312342308972423,0.8577109593536762,0.012858205403465526,0.8570676586492461,0.012708554937456063,0.8591846879673071,0.012312342308972423,0.8577109593536762,0.012858205403465526,0.8570676586492461,0.012708554937456063,0.8591846879673071,0.012312342308972423,0.8577109593536762,0.012858205403465526,0.8570676586492461,0.012708554937456063,0.8591846879673071,0.012312342308972423,0.8577109593536762,0.012858205403465526,0.8570676586492461,0.012708554937456063
20,100,0.1,3,0.8399477806788511,0.015136849128601295,0.8396121603026234,0.017248927214045282,0.835297390341956,0.018652082822824503,0.8351732356105229,0.01841398067844337,0.8396121603026234,0.017248927214045282,0.835297390341956,0.018652082822824503,0.8351732356105229,0.01841398067844337,0.8396121603026234,0.017248927214045282,0.835297390341956,0.018652082822824503,0.8351732356105229,0.01841398067844337,0.8396121603026234,0.017248927214045282,0.835297390341956,0.018652082822824503,0.8351732356105229,0.01841398067844337,0.8396121603026234,0.017248927214045282,0.835297390341956,0.018652082822824503,0.8351732356105229,0.01841398067844337,0.8396121603026234,0.017248927214045282,0.835297390341956,0.018652082822824503,0.8351732356105229,0.01841398067844337,0.8396121603026234,0.017248927214045282,0.835297390341956,0.018652082822824503,0.8351732356105229,0.01841398067844337
