hidden_layer_size,learning_rate,weight_decay,use_adam,learning_rate_decay,epochs,batch_size,hidden_layers_count,train_loss,test_loss,train_acc,test_acc
300,0.02,0.002,False,0.8,50,256,2,0.632858669627309,0.25699422478675843,0.5861618798955613,0.556135770234987
300,0.02,0.002,False,0.95,50,256,2,0.6956224521403314,0.2835396754741669,0.585509138381201,0.5639686684073107
300,0.05,0.002,False,0.95,50,256,2,0.3899409250303507,0.16767117559909822,0.7428198433420365,0.6840731070496083
300,0.1,0.002,False,0.95,50,256,2,0.24436952353847027,0.12295161604881288,0.8426892950391645,0.7754569190600522
300,0.2,0.002,False,0.95,50,256,2,0.12946399539095163,0.09276134371757508,0.9275456919060052,0.825065274151436
300,0.5,0.002,False,0.95,50,256,2,0.049565556164979936,0.09486324667930604,0.97911227154047,0.8485639686684073
300,0.5,0.002,False,0.95,50,256,3,0.11144454227021339,0.08879785418510437,0.9379895561357703,0.8381201044386423
300,0.5,0.002,False,0.95,100,256,3,0.05144711123874039,0.08435506999492645,0.9778067885117493,0.856396866840731
300,0.5,0.005,False,0.95,100,256,3,0.0502232266945988,0.08768315255641938,0.9810704960835509,0.8407310704960835
300,0.5,0.01,False,0.95,100,256,3,0.05279045814330876,0.0880141043663025,0.97911227154047,0.856396866840731
300,0.5,0.1,False,0.95,100,256,3,0.053251823292188354,0.08573744833469392,0.9817232375979112,0.856396866840731
300,0.5,0.1,False,0.95,100,512,3,0.06920088750123977,0.04927257895469666,0.9340731070496083,0.8433420365535248
300,0.5,0.1,False,0.95,100,128,3,0.031041993182291817,0.1443407930135727,0.9934725848563969,0.8616187989556136
300,0.5,0.1,False,0.95,100,64,3,0.015085432383324972,0.2698562753136754,0.9993472584856397,0.8537859007832899
300,0.5,0.1,False,0.95,100,100,3,0.02103353936292935,0.21052760337591173,0.9980417754569191,0.8694516971279374
300,0.5,0.1,True,0.95,100,100,3,1.6051484286049507,0.6673249798655511,0.16775456919060053,0.1514360313315927
300,0.005,0.1,True,0.95,100,100,3,1.5848387977985263,0.6689537400007248,0.16383812010443866,0.17493472584856398
300,0.05,0.1,True,0.95,100,100,3,1.5865145789676955,0.6716668834686281,0.15600522193211488,0.09921671018276762
300,0.05,0.002,True,0.95,100,100,3,0.40292814261734167,0.2011631622374058,0.8322454308093995,0.8093994778067886
300,0.03,0.002,True,0.95,100,100,3,0.3035420970626951,0.1804207608997822,0.8968668407310705,0.804177545691906
300,0.03,0.002,True,0.95,100,128,3,0.2691289600234882,0.14598741948604585,0.910574412532637,0.7885117493472585
300,0.01,0.002,True,0.95,100,128,3,0.24153169685686032,0.13574032747745515,0.9340731070496083,0.8276762402088773
300,0.005,0.002,True,0.95,100,128,3,0.2420429437282877,0.1353270795941353,0.9321148825065274,0.835509138381201
300,0.005,0.001,True,0.95,100,128,3,0.1501451265200679,0.12067576113343241,0.9621409921671018,0.8485639686684073
300,0.002,0.001,True,0.95,100,128,3,0.18675202813874228,0.13074629074335098,0.945822454308094,0.8328981723237598
300,0.001,0.001,True,0.95,100,128,3,0.23248488272829723,0.14081832498311997,0.9242819843342036,0.8224543080939948
300,0.002,0.001,True,0.95,100,256,3,0.14006686544397473,0.09316879510879517,0.935378590078329,0.835509138381201
300,0.002,0.001,True,0.95,100,512,3,0.10828457403182984,0.05848656296730042,0.8942558746736292,0.8015665796344648
300,0.002,0.001,True,0.95,100,64,3,0.21386255945738558,0.20929402339696887,0.9556135770234987,0.8511749347258486
300,0.002,0.001,True,0.95,100,64,4,0.3481777067746939,0.2507760346465111,0.9223237597911227,0.8381201044386423
300,0.001,0.001,True,0.95,100,64,4,0.4072684899895527,0.26406617285084727,0.9033942558746736,0.8276762402088773
300,0.005,0.001,True,0.95,100,64,4,0.30533021670978083,0.23599177321696282,0.9360313315926893,0.8302872062663186
500,0.005,0.001,True,0.95,100,64,4,0.304326051326656,0.24261367856419092,0.9327676240208878,0.8407310704960835
500,0.003,0.001,True,0.95,100,64,4,0.3159660640309066,0.2359715621379018,0.9327676240208878,0.8485639686684073
500,0.003,0.001,False,0.95,100,64,4,1.7688054314845898,0.9054668286174536,0.16579634464751958,0.17493472584856398
500,0.2,0.001,False,0.95,100,64,4,0.14143431907598017,0.20906280570000413,0.9699738903394256,0.8485639686684073
500,0.3,0.001,False,0.95,100,64,4,0.09704612425774878,0.225584545375824,0.9810704960835509,0.8459530026109661
500,0.5,0.001,False,0.95,100,64,4,0.03402453514014542,0.2342830349256993,0.9947780678851175,0.8668407310704961
500,0.7,0.001,False,0.95,100,64,4,0.025347558198808906,0.2611807271376848,0.9973890339425587,0.8537859007832899
500,0.7,0.005,False,0.95,100,64,4,0.02414756491829923,0.23991139819681648,0.9973890339425587,0.8668407310704961
500,0.7,0.01,False,0.95,100,64,4,0.02236119604290136,0.2529287189757228,0.9986945169712794,0.8537859007832899
500,0.7,0.1,False,0.95,100,64,4,0.024126641450758782,0.25405059089946747,0.9986945169712794,0.8694516971279374
500,0.7,10.0,False,0.95,100,64,4,0.025607817288001045,0.2510976859523058,0.9973890339425587,0.8590078328981723
500,0.7,10.0,False,0.95,100,128,4,0.053993947610501615,0.13298316466808321,0.9895561357702349,0.8537859007832899
